,Calories,CumulativeElevationGain,Date,Distance,Duration,Elevation,ExerciseLocalId,ExerciseServerId,HorizontalAccuracy,Interpolated,Latitude,Longitude,Pace,Paused,Speed,Steps,VerticalAccuracy,EntityStatus,LastOperationUuid,ServerId,TimeCreated,TimeUpdated,Uuid,Id,convertedDate
17,0,0.0,637392289940000000,0.038560000000000004,24000,49.784966,4,35218252741,0.4,0,52.52966,-9.42734,317.46033,0,11.3472,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,693620c9-5b63-45bc-9ef0-5691d8b8439d,18,2020-10-25 13:23:14.000000000
18,0,0.0,637392289950000000,0.04174,25000,49.904716,4,35218252741,0.4,0,52.529681999999994,-9.427318,314.46542,0,11.3688,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,0b44d2b4-6431-4beb-aa94-d80d7db2c5fd,19,2020-10-25 13:23:15.000000000
19,0,0.0,637392289960000000,0.04482,26000,50.05706,4,35218252741,0.4,0,52.52970500000001,-9.427299,324.67532,0,11.2968,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,cca38d87-7b8c-450e-bf1e-7ad9f7dad8c3,20,2020-10-25 13:23:16.000000000
20,0,0.0,637392289970000000,0.04785,27000,50.148125,4,35218252741,0.4,0,52.529728000000006,-9.427275,330.033,0,11.1744,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,21a57aeb-cebb-4007-8350-965a63ef1167,21,2020-10-25 13:23:17.000000000
21,0,0.0,637392289980000000,0.050980000000000004,28000,50.096096,4,35218252741,0.4,0,52.529755,-9.427249,319.48883,0,11.2104,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,4f121a6a-cc18-4ee4-bb39-5f919ad6adc3,22,2020-10-25 13:23:18.000000000
22,0,0.0,637392289990000000,0.054029999999999995,29000,50.134890000000006,4,35218252741,0.4,0,52.529773999999996,-9.427225,327.86887,0,11.1384,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,8cb92607-bd9a-4fb1-953e-05c3ef235c18,23,2020-10-25 13:23:19.000000000
23,0,0.0,637392290000000000,0.05708,30000,50.1688,4,35218252741,0.4,0,52.529790000000006,-9.42721,327.86887,0,11.0448,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,035e1836-9d7c-4297-834c-d1aba394b199,24,2020-10-25 13:23:20.000000000
24,0,0.0,637392290010000000,0.06012000000000001,31000,50.07018,4,35218252741,0.4,0,52.529804000000006,-9.427195,328.94736,0,11.015999999999998,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,137f730e-c7ef-42c7-acc2-6044eb21a22a,25,2020-10-25 13:23:21.000000000
25,0,0.0,637392290020000000,0.06318,32000,50.06343,4,35218252741,0.4,0,52.529830000000004,-9.427171000000001,326.7974,0,11.0376,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,c81dbf68-2a90-40fb-9ede-13ed8c2e5f78,26,2020-10-25 13:23:22.000000000
26,0,0.0,637392290030000000,0.06623,33000,50.056286,4,35218252741,0.4,0,52.529865,-9.427139,327.86887,0,10.98,0,0.0,0,00000000-0000-0000-0000-000000000000,0,637452752329687701,637452752329687701,d4d85ffc-56ac-4f00-ab1d-3f8174298e0b,27,2020-10-25 13:23:23.000000000
